strategy,asset,tf,bench_ret,bench_sharpe,ret_none,shp_none,trd_none,ret_up,shp_up,trd_up,ret_trend,shp_trend,trd_trend
pairs_spread,AVAX,1d,-57.24519230769231,-0.6775890180009982,-49.12,-1.174,2,0.0,0.0,0,-49.12,-1.174,2
squeeze_momentum,AVAX,1d,-57.24519230769231,-0.6775890180009982,-68.52,-1.389,3,-62.81,-1.171,1,-62.81,-1.171,1
atr_breakout,AVAX,1d,-57.24519230769231,-0.6775890180009982,-44.94,-1.134,3,-57.74,-1.9,3,-57.74,-1.9,3
amd_ifvg,AVAX,1d,-57.24519230769231,-0.6775890180009982,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
heikin_ashi_ema,AVAX,1d,-57.24519230769231,-0.6775890180009982,-13.49,-0.141,7,-21.76,-0.445,5,-21.76,-0.445,5
order_blocks,AVAX,1d,-57.24519230769231,-0.6775890180009982,-69.11,-1.961,4,-68.0,-1.999,3,-71.58,-2.173,4
vwap_reversion,AVAX,1d,-57.24519230769231,-0.6775890180009982,-51.24,-0.622,89,-39.21,-0.92,23,-57.76,-1.119,52
chart_pattern,AVAX,1d,-57.24519230769231,-0.6775890180009982,-35.32,-0.94,2,0.0,0.0,0,0.0,0.0,0
liquidity_sweeps,AVAX,1d,-57.24519230769231,-0.6775890180009982,-53.61,-1.139,2,-13.88,-0.196,1,-50.87,-1.036,1
parabolic_sar,AVAX,1d,-57.24519230769231,-0.6775890180009982,-41.5,-0.765,17,-34.29,-1.252,6,-43.6,-1.124,12
range_scalper,AVAX,1d,-57.24519230769231,-0.6775890180009982,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
sweep_squeeze_combo,AVAX,1d,-57.24519230769231,-0.6775890180009982,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
adx_trend,AVAX,1d,-57.24519230769231,-0.6775890180009982,-59.98,-1.004,2,-59.98,-1.004,2,-59.98,-1.004,2
donchian_breakout,AVAX,1d,-57.24519230769231,-0.6775890180009982,-3.43,0.203,2,-8.01,0.089,1,-8.01,0.089,1
tema_cross,AVAX,1d,-57.24519230769231,-0.6775890180009982,-7.51,-0.069,6,-8.68,-0.451,2,-8.68,-0.451,2
sma_crossover,LINK,1d,-34.552612741589115,-0.1589016061878744,-0.42,0.222,4,-0.74,0.205,3,-0.74,0.205,3
ema_crossover,LINK,1d,-34.552612741589115,-0.1589016061878744,-10.64,0.032,7,-21.8,-1.509,2,-21.8,-1.509,2
rsi,LINK,1d,-34.552612741589115,-0.1589016061878744,19.19,0.747,1,0.0,0.0,0,19.19,0.747,1
bollinger_bands,LINK,1d,-34.552612741589115,-0.1589016061878744,-41.84,-0.73,3,0.0,0.0,0,-50.33,-1.08,2
macd,LINK,1d,-34.552612741589115,-0.1589016061878744,-28.95,-0.235,14,9.36,0.435,2,-38.22,-0.614,8
mean_reversion,LINK,1d,-34.552612741589115,-0.1589016061878744,-43.8,-0.931,5,0.0,0.0,0,-45.1,-1.008,4
